R1,ap,1,2
R2,ap,2,3
R3,ap,3,-1
R4,ap,4,-1
R5,ap,5,1
R6,ap,6,-1
R7,dmp,1,2
R8,dmp,2,4
R9,dmp,3,5
R10,dmp,4,-1
R11,dmp,5,1
R12,dmp,6,3
R13,jgp,1,2
R14,jgp,2,4
R15,jgp,3,5
R16,jgp,4,6
R17,jgp,5,1
R18,jgp,6,3
R19,lmp,1,2
R20,lmp,2,-1
R21,lmp,3,-1
R22,lmp,4,-1
R23,lmp,5,-1
R24,lmp,6,1
R25,mp,1,1
R26,mp,2,2
R27,mp,3,3
R28,mp,4,5
R29,mp,5,4
R30,mp,6,-1
R31,pfc,1,2
R32,pfc,2,4
R33,pfc,3,5
R34,pfc,4,-1
R35,pfc,5,1
R36,pfc,6,3
R37,sep,1,1
R38,sep,2,-1
R39,sep,3,-1
R40,sep,4,-1
R41,sep,5,-1
R42,sep,6,-1
R43,zac,1,2
R44,zac,2,3
R45,zac,3,4
R46,zac,4,5
R47,zac,5,1
R48,zac,6,6
