"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"1","Peacemaker","8.5","2022-",40,"Action, Adventure, Comedy","TV-MA",60116,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
"2","The Legend of Vox Machina","8.6","2022-",30,"Animation, Action, Adventure","TV-MA",13128,"In a desperate attempt to pay off a mounting bar tab, a band of misfits end up on a quest to save the realm of Exandria from dark, magical forces."
"3","Daredevil","8.6","2015-2018",54,"Action, Crime, Drama","TV-MA",410433,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
"4","The Boys","8.7","2019-",60,"Action, Crime, Drama","TV-MA",347831,"A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers."
"5","Raising Dion","7.2","2019-",50,"Drama, Sci-Fi","TV-G",13375,"A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly."
"6","Titans","7.6","2018-",45,"Action, Adventure, Crime","TV-MA",93828,"A team of young superheroes combat evil and other perils."
"7","Star Wars: The Clone Wars","8.3","2008-2020",23,"Animation, Action, Adventure","TV-PG",82049,"Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists."
"8","The Punisher","8.5","2017-2019",53,"Action, Crime, Drama","TV-MA",214770,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
"9","The Flash","7.6","2014-",43,"Action, Adventure, Drama","TV-PG",333285,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
"10","Superman & Lois","7.9","2021-",42,"Action, Adventure, Drama","TV-14",27036,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice and parenthood in today's society."
"11","The Umbrella Academy","8","2019-",60,"Action, Adventure, Comedy","TV-14",196483,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"12","Loki","8.3","2021-",NA,"Action, Adventure, Fantasy","TV-14",268311,"The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”"
"13","Agents of S.H.I.E.L.D.","7.5","2013-2020",45,"Action, Adventure, Drama","TV-PG",211951,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
"14","What If...?","7.5","2021-",32,"Animation, Action, Adventure","TV-14",89330,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
"15","Gotham","7.8","2014-2019",42,"Action, Crime, Drama","TV-14",223106,"The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival."
"16","Arrow","7.5","2012-2020",42,"Action, Adventure, Crime","TV-14",423527,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
"17","Invincible","8.7","2021-",50,"Animation, Action, Adventure","TV-MA",108479,"An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet."
"18","Jessica Jones","7.9","2015-2019",56,"Action, Crime, Drama","TV-MA",206860,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
"19","DC's Legends of Tomorrow","6.8","2016-",42,"Action, Adventure, Drama","TV-14",101285,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
"20","The Boys Presents: Diabolical",NA,"2022-",14,"Animation, Action, Adventure",NA,NA,"The Boys animated spin-off."
"21","Doom Patrol","7.9","2019-",60,"Action, Adventure, Comedy","TV-MA",48885,"The adventures of an idealistic mad scientist and his field team of superpowered outcasts."
"22","Star Wars: Rebels","8","2014-2018",22,"Animation, Action, Adventure","TV-Y7-FV",38688,"A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights."
